# id,dateadded,url,url_status,threat,tags,urlhaus_link
155379,2019/3/9 17:39,http://185.244.30.141/cemtop,offline,malware_download,"bashlite,elf,gafgyt",https://urlhaus.abuse.ch/url/155379/
155378,2019/3/9 17:39,http://185.244.30.141/lnkfmx,offline,malware_download,"bashlite,elf,gafgyt",https://urlhaus.abuse.ch/url/155378/
155377,2019/3/9 17:39,http://isaacwright.com/screentshot.iso,online,malware_download,None,https://urlhaus.abuse.ch/url/155377/
155376,2019/3/9 17:38,http://isaacwright.com/invoice_paid.iso,online,malware_download,None,https://urlhaus.abuse.ch/url/155376/
155375,2019/3/9 17:38,http://isaacwright.com/Swift_copy01.zip,online,malware_download,None,https://urlhaus.abuse.ch/url/155375/
155374,2019/3/9 17:38,http://isaacwright.com/Swift_confirmation.iso,online,malware_download,None,https://urlhaus.abuse.ch/url/155374/
155373,2019/3/9 17:38,http://isaacwright.com/Shipment_Receipt.iso,online,malware_download,None,https://urlhaus.abuse.ch/url/155373/
155372,2019/3/9 17:38,http://isaacwright.com/Receipt.iso,online,malware_download,None,https://urlhaus.abuse.ch/url/155372/
155371,2019/3/9 17:38,http://isaacwright.com/Bussiness_Development.iso,online,malware_download,None,https://urlhaus.abuse.ch/url/155371/
155370,2019/3/9 17:19,http://morj.zzz.com.ua/NetPlugin.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155370/
155369,2019/3/9 17:19,http://sunsethillhoney.com/wp-admin/news_P.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155369/
155368,2019/3/9 17:17,http://fakenaeb.ru/1.exe,online,malware_download,"exe,PredatorStealer",https://urlhaus.abuse.ch/url/155368/
155367,2019/3/9 16:26,http://zaputina.ru.com/files/users/eu/euloa.exe,online,malware_download,"AZORult,exe",https://urlhaus.abuse.ch/url/155367/
155366,2019/3/9 15:54,http://oteam.io/payloads/stageless_cob18.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155366/
155365,2019/3/9 15:40,http://zaputina.ru.com/files/users/usa/usaas.exe,online,malware_download,"AZORult,exe",https://urlhaus.abuse.ch/url/155365/
155364,2019/3/9 15:38,http://oteam.io/payloads/stageless_cob62.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155364/
155363,2019/3/9 14:52,http://24.4.224.118:15037/.i,online,malware_download,"elf,hajime",https://urlhaus.abuse.ch/url/155363/
155362,2019/3/9 14:05,http://v9.monerov8.com:8800/gx.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155362/
155361,2019/3/9 13:35,http://v9.monerov8.com:8800/data01,online,malware_download,exe,https://urlhaus.abuse.ch/url/155361/
155360,2019/3/9 12:57,http://zagruz.zyns.com/dedko.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155360/
155359,2019/3/9 12:56,http://kachsurf.mylftv.com/grafil.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155359/
155358,2019/3/9 12:56,http://zagruz.toh.info/RegJump.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155358/
155357,2019/3/9 12:53,http://zagruz.zyns.com/cdfsc.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155357/
155356,2019/3/9 12:42,http://kachsurf.mylftv.com/wmiupd.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155356/
155355,2019/3/9 12:41,http://zagruz.toh.info/DEDKO.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155355/
155354,2019/3/9 12:39,http://kachsurf.mylftv.com/ifupd.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155354/
155353,2019/3/9 12:38,http://ranknfile.org/view-report-invoice-00001502/x6zp-qh79-zrsy.invoice,offline,malware_download,zip,https://urlhaus.abuse.ch/url/155353/
155352,2019/3/9 12:38,http://zagruz.toh.info/asufer.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155352/
155351,2019/3/9 12:30,http://zagruz.zyns.com/asufer.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155351/
155350,2019/3/9 12:10,http://schoolaredu.com/wp-content/upgrade/file/skillz/PurchaseOeder.exe,online,malware_download,"AZORult,exe",https://urlhaus.abuse.ch/url/155350/
155349,2019/3/9 11:56,https://pastebin.com/raw/9see7UfF,online,malware_download,"GandCrab,powershell",https://urlhaus.abuse.ch/url/155349/
155348,2019/3/9 11:54,http://220.134.44.253:34050/.i,online,malware_download,None,https://urlhaus.abuse.ch/url/155348/
155347,2019/3/9 11:54,http://37.6.154.98:10015/.i,online,malware_download,None,https://urlhaus.abuse.ch/url/155347/
155346,2019/3/9 11:52,http://201.15.82.197:12176/.i,online,malware_download,None,https://urlhaus.abuse.ch/url/155346/
155345,2019/3/9 11:46,http://install-upload.com/uploads/02667352.exe,online,malware_download,"exe,tinynuke",https://urlhaus.abuse.ch/url/155345/
155344,2019/3/9 10:59,http://speed.myz.info/asufer.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155344/
155343,2019/3/9 10:28,http://68.183.68.222/d/xd.ppc,online,malware_download,elf,https://urlhaus.abuse.ch/url/155343/
155342,2019/3/9 10:28,http://bncv334d.ru/6/_outputBBED25Fpp.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155342/
155341,2019/3/9 10:27,http://bncv334d.ru/6/_output4A9C60R.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155341/
155340,2019/3/9 10:27,http://bncv334d.ru/6/A234DGF8.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155340/
155339,2019/3/9 10:27,http://68.183.68.222/d/xd.mpsl,online,malware_download,"elf,mirai",https://urlhaus.abuse.ch/url/155339/
155338,2019/3/9 10:19,http://68.183.68.222/d/xd.sh4,online,malware_download,"elf,mirai",https://urlhaus.abuse.ch/url/155338/
155337,2019/3/9 10:17,http://68.183.68.222/d/xd.m68k,online,malware_download,"elf,mirai",https://urlhaus.abuse.ch/url/155337/
155336,2019/3/9 10:17,http://68.183.68.222/d/xd.arm5,online,malware_download,"elf,mirai",https://urlhaus.abuse.ch/url/155336/
155335,2019/3/9 10:17,http://68.183.68.222/d/xd.arm7,online,malware_download,"elf,mirai",https://urlhaus.abuse.ch/url/155335/
155334,2019/3/9 10:17,http://68.183.68.222/d/xd.arm6,online,malware_download,"elf,mirai",https://urlhaus.abuse.ch/url/155334/
155333,2019/3/9 10:16,http://68.183.68.222/d/xd.mips,online,malware_download,elf,https://urlhaus.abuse.ch/url/155333/
155332,2019/3/9 10:16,http://5.29.122.157:25713/.i,online,malware_download,"elf,hajime",https://urlhaus.abuse.ch/url/155332/
155331,2019/3/9 10:16,http://bncv334d.ru/6/P576FHGADSF.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155331/
155330,2019/3/9 10:16,http://bncv334d.ru/6/RASWEGDF_signed.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155330/
155329,2019/3/9 10:15,http://68.183.68.222/d/xd.arm,online,malware_download,"elf,mirai",https://urlhaus.abuse.ch/url/155329/
155328,2019/3/9 10:15,http://bncv334d.ru/6/ASWEGDF_signed.exe,offline,malware_download,"AZORult,exe",https://urlhaus.abuse.ch/url/155328/
155327,2019/3/9 10:15,http://bncv334d.ru/6/_output9F4D39Fa.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155327/
155326,2019/3/9 9:40,http://sweet-bud.com/1/Firefox.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155326/
155325,2019/3/9 9:39,http://sweet-bud.com/1/Protected24.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155325/
155324,2019/3/9 9:39,http://sweet-bud.com/1/data24.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155324/
155323,2019/3/9 9:38,http://sweet-bud.com/1/65.exe,online,malware_download,"exe,njRAT",https://urlhaus.abuse.ch/url/155323/
155321,2019/3/9 9:38,http://bncv334d.ru/9/_output2E13890pp.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155321/
155322,2019/3/9 9:38,http://sweet-bud.com/1/Protected244.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155322/
155320,2019/3/9 9:38,http://68.183.68.222/d/xd.x86,online,malware_download,"elf,mirai",https://urlhaus.abuse.ch/url/155320/
155319,2019/3/9 9:31,http://sweet-bud.com/1/4.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155319/
155318,2019/3/9 9:31,http://bncv334d.ru/6/S7896HJK.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155318/
155317,2019/3/9 9:30,http://bncv334d.ru/9/ASD34565_signed.exe,offline,malware_download,"AZORult,exe",https://urlhaus.abuse.ch/url/155317/
155316,2019/3/9 9:29,http://bncv334d.ru/9/A4325CFGH.exe,offline,malware_download,"AZORult,exe",https://urlhaus.abuse.ch/url/155316/
155315,2019/3/9 9:29,http://bncv334d.ru/9/_outputB1CFD6Fa.exe,offline,malware_download,"AZORult,exe",https://urlhaus.abuse.ch/url/155315/
155314,2019/3/9 9:22,http://sweet-bud.com/1/d22_signed.exe,online,malware_download,"exe,njRAT",https://urlhaus.abuse.ch/url/155314/
155313,2019/3/9 9:22,http://sweet-bud.com/1/80.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155313/
